SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
NW;0;0.065;0.09;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;7,05E-03;0;0;0;0;0;0;0;1;0;0
NW;0.045;0;0.09;0;0.018;0;0;0;0;0;0;0;0;1;1;1;1;1;8,30E-03;0;0;0;0;0;0;0;1;0;0
NW;0.015;0;0.09;0;0.006;0;0;0;0;0;0;0;0;1;1;1;1;1;7,55E-03;0;0;0;0;0;0;0;1;0;0
NW;0.035;0;0.09;0;0.014;0;0;0;0;0;0;0;0;1;1;1;1;1;7,30E-03;0;0;0;0;0;0;0;1;0;0
NW;0.04;0;0.09;0;0.016;0;0;0;0;0;0;0;0;1;1;1;1;1;7,30E-03;0;0;0;0;0;0;0;1;0;0
HTTP;0.05;0;0.08;0;0.128;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.05;0;0.04;0;0.094;0;0;1;0;0;0;0;0;1;1;1;1;1;1,88E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.075;0;0.04;0;0.132;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.095;0;0.035;0;0.138;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.17;0;0.035;0;0.246;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.085;0;0.025;0;0.098;0;0;1;0;0;0;0;0;1;1;1;1;1;1,86E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.135;0;0.025;0;0.146;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.225;0;0.02;0;0.25;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.24;0;0.02;0;0.256;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.15;0;0.02;0;0.132;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
NW;0.02;0;0.03;0;0.008;0;0;0;0;0;0;0;0;1;1;1;1;1;8,68E-03;0;0;0;0;0;0;0;1;0;0
HTTP;0.155;0;0.035;0;0.128;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.265;0;0.035;0;0.222;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
MM;0;0;0.035;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;4,00E-02;0;0;0;0;0;0;1;0;0;0
HTTP;0.34;0;0.04;0;0.25;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
