SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
AS;0.005;0;0.185;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;8.40E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0.305;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;4.63E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.01;0;0.15;0;0.02;0;0;0;1;0;0;0;0;1;1;1;1;1;4.91E-03;0;0;0;0;1;0;0;0;0;0
UK;0;0;0.15;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;2.70E-01;0;0;0;0;0;0;0;0;0;1
UK;0;0;0.145;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;3.94E-01;0;0;0;0;0;0;0;0;0;1
AS;0;0;0.215;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;5.56E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.22;0;0.008;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.54;0;0.235;0;0.54;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.01;0;0.295;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;2.90E-01;0;0;0;0;1;0;0;0;0;0
DBC;0.01;0;0.29;0;0.004;1;0;0;0;0;0;0;0;1;1;1;1;1;3.33E-02;0;0;1;0;0;0;0;0;0;0
AS;0;0;0.28;0;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;5.69E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.53;0;0.235;0;0.554;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.53;0;0.235;0;0.558;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.005;0;0.325;0;0.002;1;0;0;1;0;0;0;0;1;1;1;1;1;4.91E-03;0;0;0;0;1;0;0;0;0;0
DBC;0.02;0;0.34;0;0.008;1;0;0;0;0;0;0;0;1;1;1;1;1;3.33E-02;0;0;1;0;0;0;0;0;0;0
HTTP;0.01;0;0.24;0;0.02;0;0;1;0;0;0;0;0;1;1;1;1;1;1.70E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.24;0.005;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;5.81E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.53;0;0.245;0;0.618;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.005;0;0.225;0.025;0.002;1;0;0;0;1;0;0;0;1;1;1;1;1;2.29E-02;0;0;0;0;1;0;0;0;0;0
UK;0;0;0.215;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6.42E-03;0;0;0;0;0;0;0;0;0;1
HTTP;0.465;0;0.27;0;0.626;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.315;0.005;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;6.59E-01;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.32;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
